doi,article_id,article_type,publication_date,oa_is_oa,oa_status,oa_fulltext
10.1126/science.abf7652,hW3137528670,article,2021-03-25,FALSE,closed,FALSE
10.1126/science.abg4509,hW3161036294,article,2021-05-21,TRUE,hybrid,TRUE
10.1126/science.abb0354,hW3174409529,review,2021-07-01,FALSE,closed,FALSE
10.1126/science.abi6087,hW3216805703,review,2021-11-25,FALSE,closed,FALSE
10.1126/science.aaz6694,hW3165420112,article,2021-06-03,FALSE,closed,FALSE
10.1126/science.abi7687,hW3202132086,article,2021-09-30,FALSE,closed,FALSE
10.1126/science.abj8114,hW3199275388,article,2021-09-23,TRUE,green,TRUE
10.1126/science.abf5291,hW3135827853,article,2021-03-11,TRUE,green,TRUE
10.1126/science.abi9828,hW3210780992,article,2021-11-04,FALSE,closed,FALSE
10.1126/science.ade1499,hW4376128906,article,2023-05-11,TRUE,green,TRUE
10.1126/science.abn6301,hW4365458577,article,2023-04-13,TRUE,green,TRUE
10.1126/science.add7046,hW4387568450,article,2023-10-12,FALSE,closed,FALSE
10.1126/science.abg5289,hW3189525949,article,2021-08-05,TRUE,green,TRUE
10.1126/science.abl4649,hW4220952637,article,2022-03-17,TRUE,green,TRUE
10.1126/science.ade9637,hW4387770902,article,2023-10-19,TRUE,green,TRUE
10.1126/science.ade0086,hW4377013998,article,2023-05-18,FALSE,closed,FALSE
10.1126/science.abn7760,hW4205331651,article,2022-01-20,TRUE,hybrid,TRUE
10.1126/science.abe8177,hW3092490289,article,2021-06-10,TRUE,green,TRUE
10.1126/science.abh1035,hW3172692239,article,2021-06-17,TRUE,green,TRUE
10.1126/science.abq5815,hW4284692924,article,2022-07-07,FALSE,closed,FALSE
10.1126/science.abg4503,hW3176667207,review,2021-07-01,TRUE,green,TRUE
10.1126/science.abf7136,hW4200112488,article,2021-12-16,TRUE,green,TRUE
10.1126/science.abq3750,hW4311883458,review,2022-12-08,FALSE,closed,FALSE
10.1126/science.adk1633,hW4388726580,article,2023-11-16,TRUE,green,TRUE
10.1126/science.abg2026,hW3201928650,article,2021-09-30,FALSE,closed,FALSE
10.1126/science.add9204,hW4360609356,article,2023-03-23,FALSE,closed,FALSE
10.1126/science.aaw3616,hW3141884635,review,2021-04-09,FALSE,closed,FALSE
10.1126/science.abj9979,hW4281874271,review,2022-06-02,TRUE,green,TRUE
10.1126/science.abe0725,hW4214843661,review,2022-03-03,FALSE,closed,FALSE
10.1126/science.abb2823,hW3156898029,review,2021-04-15,TRUE,green,TRUE
10.1126/science.abd0336,hW3181568850,review,2021-07-09,FALSE,closed,FALSE
10.1126/science.abj0890,hW3206148627,article,2021-10-22,FALSE,closed,FALSE
10.1126/science.abi5200,hW3216930162,review,2021-11-25,FALSE,closed,FALSE
10.1126/science.abo4940,hW4302425308,article,2022-10-06,FALSE,closed,FALSE
10.1126/science.abf6986,hW3194272510,article,2021-08-19,TRUE,green,TRUE
10.1126/science.abg1919,hW3127491185,article,2021-04-15,TRUE,green,TRUE
10.1126/science.abf3041,hW4223893712,article,2022-04-07,TRUE,green,TRUE
10.1126/science.abj1541,hW3201934315,article,2021-11-11,TRUE,green,TRUE
10.1126/science.abg9175,hW3136570200,editorial,2021-03-25,TRUE,hybrid,TRUE
10.1126/science.abf7844,hW3164896384,article,2021-06-03,TRUE,green,TRUE
10.1126/science.abo1324,hW4313555558,article,2023-01-05,TRUE,green,TRUE
10.1126/science.abb3517,hW3128234721,article,2021-02-11,FALSE,closed,FALSE
10.1126/science.abg2371,hW3169660990,article,2021-06-10,TRUE,green,TRUE
10.1126/science.abl4178,hW4220937793,article,2022-03-31,TRUE,green,TRUE
10.1126/science.adh4451,hW4380769213,article,2023-06-15,FALSE,closed,FALSE
10.1126/science.ade3970,hW4321018137,article,2023-02-16,TRUE,green,TRUE
10.1126/science.aba3996,hW3126528765,article,2021-03-11,TRUE,green,TRUE
10.1126/science.abj4176,hW3189544042,article,2021-08-12,TRUE,hybrid,TRUE
10.1126/science.ade3126,hW4321018370,article,2023-02-16,FALSE,closed,FALSE
10.1126/science.abo0693,hW4281557603,review,2022-05-26,FALSE,closed,FALSE
10.1126/science.abh4049,hW3199844547,article,2021-09-23,FALSE,closed,FALSE
10.1126/science.abi6983,hW4221117452,article,2022-03-10,TRUE,green,TRUE
10.1126/science.abf5602,hW3159383200,article,2021-05-06,FALSE,closed,FALSE
10.1126/science.abf6950,hW3127143267,article,2021-03-11,TRUE,hybrid,TRUE
10.1126/science.aba1786,hW3150736119,article,2021-04-01,TRUE,green,TRUE
10.1126/science.abj4396,hW4313555657,review,2023-01-05,TRUE,green,TRUE
10.1126/science.ade2292,hW4385520050,article,2023-08-03,TRUE,green,TRUE
10.1126/science.aba2374,hW3155386417,article,2021-04-22,TRUE,green,TRUE
10.1126/science.abl5470,hW4206197282,article,2022-01-14,FALSE,closed,FALSE
10.1126/science.adh8615,hW4388936967,review,2023-11-23,TRUE,green,TRUE
10.1126/science.abj7564,hW4220843382,article,2022-03-24,TRUE,green,TRUE
10.1126/science.abd0380,hW3161143221,article,2021-05-21,TRUE,green,TRUE
10.1126/science.abn8652,hW4220861013,article,2022-02-24,TRUE,hybrid,TRUE
10.1126/science.abe5017,hW3183815414,article,2021-08-12,TRUE,green,TRUE
10.1126/science.abo4626,hW4305040595,article,2022-10-13,TRUE,green,TRUE
10.1126/science.adj8858,hW4388937412,article,2023-11-23,FALSE,closed,FALSE
10.1126/science.abm4805,hW3212912034,article,2021-11-11,TRUE,green,TRUE
10.1126/science.abd3369,hW3133061341,article,2021-02-19,TRUE,green,TRUE
10.1126/science.abp8622,hW4318141566,review,2023-01-26,TRUE,green,TRUE
10.1126/science.abg6105,hW3123108673,article,2021-01-29,TRUE,hybrid,TRUE
10.1126/science.abi8668,hW3178227684,article,2021-07-09,FALSE,closed,FALSE
10.1126/science.abg3954,hW3201995064,article,2021-10-08,FALSE,closed,FALSE
10.1126/science.abq7870,hW4295087972,article,2022-09-08,FALSE,closed,FALSE
10.1126/science.abm7285,hW4205765478,article,2022-01-14,TRUE,green,TRUE
10.1126/science.abo2542,hW4288424909,article,2022-07-28,FALSE,closed,FALSE
10.1126/science.adf5872,hW4383313971,article,2023-07-06,FALSE,closed,FALSE
10.1126/science.abg1780,hW4213329381,review,2022-02-17,TRUE,green,TRUE
10.1126/science.abg9853,hW3203337299,article,2021-09-30,FALSE,closed,FALSE
10.1126/science.abe9728,hW3112547455,article,2021-01-14,TRUE,hybrid,TRUE
10.1126/science.abf8623,hW3208793204,article,2021-11-04,FALSE,closed,FALSE
10.1126/science.abq4964,hW4385515928,review,2023-08-03,TRUE,green,TRUE
10.1126/science.adj0998,hW4399848789,article,2024-06-20,FALSE,closed,FALSE
10.1126/science.adf4403,hW4321033156,article,2023-02-16,FALSE,closed,FALSE
10.1126/science.abi5273,hW3164220019,article,2021-05-25,TRUE,hybrid,TRUE
10.1126/science.add7331,hW4318263747,article,2023-01-26,TRUE,green,TRUE
10.1126/science.abf1970,hW4223992851,article,2022-04-07,TRUE,green,TRUE
10.1126/science.abj1186,hW4213425482,review,2022-02-24,TRUE,bronze,FALSE
10.1126/science.abn6583,hW4225320261,article,2022-04-14,TRUE,green,TRUE
10.1126/science.abf2946,hW3119321472,article,2021-01-08,TRUE,hybrid,TRUE
10.1126/science.adc9020,hW4308451957,article,2022-11-03,TRUE,green,TRUE
10.1126/science.abf0861,hW3198097576,article,2021-09-09,TRUE,green,TRUE
10.1126/science.abq1346,hW4312090027,article,2022-12-22,FALSE,closed,FALSE
10.1126/science.abk1781,hW4223595573,article,2022-04-07,TRUE,green,TRUE
10.1126/science.abo3959,hW4220757518,letter,2022-03-17,FALSE,closed,FALSE
10.1126/science.abq7652,hW4296766770,article,2022-09-22,TRUE,green,TRUE
10.1126/science.aba6500,hW3124296497,article,2021-01-21,TRUE,green,TRUE
10.1126/science.abe6522,hW3119411150,article,2021-01-12,TRUE,hybrid,TRUE
10.1126/science.aba8767,hW3153296559,article,2021-04-22,TRUE,green,TRUE
10.1126/science.abn7293,hW3216228299,article,2022-06-09,TRUE,green,TRUE
10.1126/science.abm9267,hW4295077776,review,2022-09-08,TRUE,green,TRUE
10.1126/science.abo3378,hW4283313907,review,2022-06-23,FALSE,closed,FALSE
10.1126/science.aaw9021,hW4205165375,article,2022-01-06,TRUE,green,TRUE
10.1126/science.abq0682,hW4293068506,article,2022-08-18,FALSE,closed,FALSE
10.1126/science.aay3638,hW3120567430,article,2021-01-07,FALSE,closed,FALSE
10.1126/science.abp8070,hW4310700150,article,2022-12-01,TRUE,green,TRUE
10.1126/science.abp8964,hW4321018211,review,2023-02-16,TRUE,green,TRUE
10.1126/science.abf2303,hW3137409463,article,2021-03-16,TRUE,hybrid,TRUE
10.1126/science.adi4725,hW4388520062,article,2023-11-09,TRUE,bronze,TRUE
10.1126/science.abj2691,hW4205613112,article,2022-01-20,TRUE,green,TRUE
10.1126/science.abi7489,hW3213182660,article,2021-11-11,TRUE,green,TRUE
10.1126/science.adg0091,hW4383313636,article,2023-07-06,TRUE,green,TRUE
10.1126/science.add7138,hW4383313839,article,2023-07-06,FALSE,closed,FALSE
10.1126/science.abb7535,hW3137250946,article,2021-03-18,TRUE,green,TRUE
10.1126/science.adj9602,hW4392796710,article,2024-03-14,FALSE,closed,FALSE
10.1126/science.abn2100,hW4286488966,article,2022-07-21,TRUE,green,TRUE
10.1126/science.abg5298,hW3157070895,article,2021-04-27,TRUE,hybrid,TRUE
10.1126/science.abi7994,hW3174747632,article,2021-07-01,TRUE,hybrid,TRUE
10.1126/science.abg7552,hW3199230945,article,2021-09-16,FALSE,closed,FALSE
10.1126/science.abc1495,hW4206127585,review,2022-01-14,TRUE,green,TRUE
10.1126/science.abf6840,hW3119412259,article,2021-02-11,TRUE,hybrid,TRUE
10.1126/science.abh0626,hW3191870946,article,2021-08-12,TRUE,green,TRUE
10.1126/science.abm4470,hW4293298413,review,2022-08-11,FALSE,closed,FALSE
10.1126/science.abg0399,hW3113282607,article,2021-02-04,TRUE,green,TRUE
10.1126/science.abm2052,hW4205163033,article,2022-01-20,TRUE,bronze,FALSE
10.1126/science.abm6304,hW4305040310,article,2022-10-13,FALSE,closed,FALSE
10.1126/science.abh0945,hW3175441519,review,2021-07-01,FALSE,closed,FALSE
10.1126/science.abj2637,hW3215987870,article,2022-01-06,TRUE,green,TRUE
10.1126/science.abg3395,hW4308430557,article,2022-11-03,TRUE,green,TRUE
10.1126/science.abm9583,hW4280592757,article,2022-05-12,TRUE,green,TRUE
10.1126/science.abf1611,hW3131767541,article,2021-02-18,TRUE,hybrid,TRUE
10.1126/science.adi4107,hW4384155265,article,2023-07-13,TRUE,green,TRUE
10.1126/science.adf0435,hW4321033185,article,2023-02-16,TRUE,green,TRUE
10.1126/science.abh3629,hW4200191517,article,2021-12-09,TRUE,green,TRUE
10.1126/science.abe6230,hW3119147846,article,2021-01-12,TRUE,hybrid,TRUE
10.1126/science.abl4881,hW4366482848,review,2023-04-20,TRUE,green,TRUE
10.1126/science.add9330,hW4323809195,article,2023-03-10,TRUE,green,TRUE
10.1126/science.abe5650,hW3195820203,article,2021-08-26,TRUE,green,TRUE
10.1126/science.abf9277,hW3165520347,article,2021-06-03,TRUE,green,TRUE
10.1126/science.abi8703,hW4205652915,article,2022-01-06,TRUE,green,TRUE
10.1126/science.abl5447,hW4210297691,article,2022-02-24,TRUE,green,TRUE
10.1126/science.add5901,hW4327550242,article,2023-03-16,TRUE,green,TRUE
10.1126/science.abg0821,hW3134653900,article,2021-03-09,TRUE,hybrid,TRUE
10.1126/science.abl4381,hW3211239537,article,2021-11-04,TRUE,green,TRUE
10.1126/science.abg2533,hW3119920837,article,2021-05-21,TRUE,green,TRUE
10.1126/science.abj3321,hW3192545069,article,2021-08-03,TRUE,hybrid,TRUE
10.1126/science.abp8715,hW4288034315,article,2022-07-26,TRUE,hybrid,TRUE
10.1126/science.adg7196,hW4378194757,article,2023-05-25,FALSE,closed,FALSE
10.1126/science.abn8997,hW4220701268,article,2022-03-24,FALSE,closed,FALSE
10.1126/science.abl3533,hW4225399233,article,2022-03-31,TRUE,green,TRUE
10.1126/science.abq2591,hW4308444194,review,2022-11-03,FALSE,closed,FALSE
10.1126/science.abi6226,hW3174731125,article,2021-08-05,TRUE,hybrid,TRUE
10.1126/science.abb5916,hW3120626955,article,2021-01-14,FALSE,closed,FALSE
10.1126/science.abn8910,hW4283314490,article,2022-06-23,FALSE,closed,FALSE
10.1126/science.adi2224,hW4388520421,article,2023-11-09,FALSE,closed,FALSE
10.1126/science.abo6587,hW2889426946,article,2022-05-05,TRUE,green,TRUE
10.1126/science.abj3770,hW3207868556,article,2021-10-22,FALSE,closed,FALSE
10.1126/science.abl4290,hW4280633014,article,2022-05-12,TRUE,green,TRUE
10.1126/science.abb3649,hW3128698335,article,2021-02-04,FALSE,closed,FALSE
10.1126/science.abi6860,hW4224237762,review,2022-04-21,FALSE,closed,FALSE
10.1126/science.abe8628,hW3043480203,review,2021-03-18,FALSE,closed,FALSE
10.1126/science.abg6155,hW3194369044,article,2021-08-19,TRUE,green,TRUE
10.1126/science.abe0192,hW4281632697,article,2022-06-02,FALSE,closed,FALSE
10.1126/science.abo2812,hW4377013814,article,2023-05-18,TRUE,green,TRUE
10.1126/science.aaw1974,hW4224983989,article,2022-04-28,FALSE,closed,FALSE
10.1126/science.abq3616,hW4295083689,article,2022-09-08,TRUE,green,TRUE
10.1126/science.aax2656,hW3125011419,article,2021-01-28,TRUE,green,TRUE
10.1126/science.abh1139,hW3160471157,article,2021-05-21,TRUE,hybrid,TRUE
10.1126/science.abo2757,hW4288425304,article,2022-07-28,TRUE,green,TRUE
10.1126/science.abj3593,hW3207444061,article,2021-10-22,FALSE,closed,FALSE
10.1126/science.abg8871,hW4200597270,article,2021-12-16,TRUE,green,TRUE
10.1126/science.abj4351,hW4210647337,article,2022-02-03,TRUE,green,TRUE
10.1126/science.abp9960,hW4283731082,review,2022-06-30,FALSE,closed,FALSE
10.1126/science.adn3747,hW4402262878,review,2024-09-05,TRUE,green,TRUE
10.1126/science.abe9985,hW3156374487,article,2021-04-22,TRUE,bronze,TRUE
10.1126/science.abn9668,hW4283323414,review,2022-06-23,FALSE,closed,FALSE
10.1126/science.abg7894,hW3177991713,article,2021-07-09,TRUE,green,TRUE
10.1126/science.adf0630,hW4392282891,article,2024-02-29,TRUE,green,TRUE
10.1126/science.abn9257,hW4379794190,article,2023-06-08,TRUE,gold,TRUE
10.1126/science.abk3112,hW4225409101,article,2022-03-31,TRUE,green,TRUE
10.1126/science.abb8687,hW3124673067,article,2021-01-21,TRUE,green,TRUE
10.1126/science.abh3884,hW3186830867,article,2021-07-29,FALSE,closed,FALSE
10.1126/science.add9667,hW4310251760,review,2022-11-24,TRUE,green,TRUE
10.1126/science.ado9336,hW4404349982,article,2024-11-14,TRUE,green,TRUE
10.1126/science.abj6856,hW3198344223,article,2021-09-09,TRUE,green,TRUE
10.1126/science.abf4830,hW3121833403,article,2021-01-25,TRUE,hybrid,TRUE
10.1126/science.abj6511,hW4200371263,article,2021-12-09,TRUE,green,TRUE
10.1126/science.adk9849,hW4399848834,article,2024-06-20,TRUE,green,TRUE
10.1126/science.abm6363,hW4280636450,article,2022-05-19,FALSE,closed,FALSE
10.1126/science.ade5140,hW4317497275,article,2023-01-19,FALSE,closed,FALSE
10.1126/science.abg5998,hW4386917125,review,2023-09-21,TRUE,green,TRUE
10.1126/science.abd5992,hW3161087146,review,2021-05-13,FALSE,closed,FALSE
10.1126/science.abe7252,hW3200380640,article,2021-09-16,FALSE,closed,FALSE
10.1126/science.adf0194,hW4312090043,article,2022-12-22,TRUE,green,TRUE
10.1126/science.abi7339,hW3204324941,article,2021-09-26,TRUE,green,TRUE
10.1126/science.abo6631,hW4308882992,article,2022-11-10,FALSE,closed,FALSE
10.1126/science.abh1282,hW3158748765,article,2021-04-30,TRUE,hybrid,TRUE
10.1126/science.abn7591,hW4205283268,article,2022-02-10,TRUE,hybrid,TRUE
10.1126/science.abg7285,hW3197839114,review,2021-09-01,TRUE,green,TRUE
10.1126/science.add1088,hW4298006419,article,2022-09-29,TRUE,green,TRUE
10.1126/science.adf3349,hW4315784192,article,2023-01-12,TRUE,green,TRUE
10.1126/science.adl2931,hW4394728313,article,2024-04-11,FALSE,closed,FALSE
10.1126/science.abg2530,hW3117010896,article,2021-02-25,TRUE,green,TRUE
10.1126/science.abm8386,hW4205521038,article,2022-01-14,TRUE,green,TRUE
10.1126/science.abj5861,hW4220896689,article,2022-03-10,TRUE,green,TRUE
10.1126/science.adf2465,hW4362471278,article,2023-03-31,FALSE,closed,FALSE
10.1126/science.adj8013,hW4390046100,article,2023-12-21,FALSE,closed,FALSE
10.1126/science.abg7917,hW3167479618,article,2021-06-17,TRUE,green,TRUE
10.1126/science.ade3483,hW4386736788,article,2023-09-14,FALSE,closed,FALSE
10.1126/science.abh4357,hW3195413001,article,2021-08-26,FALSE,closed,FALSE
10.1126/science.adg7942,hW4390967721,article,2024-01-18,TRUE,hybrid,FALSE
10.1126/science.abh3551,hW3173205213,article,2021-07-01,FALSE,closed,FALSE
10.1126/science.adj3502,hW4389725563,article,2023-12-14,TRUE,hybrid,TRUE
10.1126/science.adg5193,hW4396759836,article,2024-05-09,FALSE,closed,FALSE
10.1126/science.abh3602,hW3212956150,article,2021-11-11,TRUE,green,TRUE
10.1126/science.abn7980,hW4283322167,article,2022-06-23,TRUE,bronze,FALSE
10.1126/science.adh3849,hW4390734553,article,2024-01-11,FALSE,closed,FALSE
10.1126/science.abg3027,hW3204610656,article,2021-10-08,TRUE,green,TRUE
10.1126/science.abe3040,hW3120854869,article,2021-01-07,TRUE,green,TRUE
10.1126/science.abj6965,hW4225379371,article,2022-03-31,TRUE,green,TRUE
10.1126/science.abb2683,hW3123123300,article,2021-01-21,TRUE,green,TRUE
10.1126/science.aaz6964,hW3129440616,article,2021-02-19,TRUE,green,TRUE
10.1126/science.abb4309,hW3112951837,article,2021-02-04,TRUE,green,TRUE
10.1126/science.abd7331,hW3121000782,article,2021-01-14,FALSE,closed,FALSE
10.1126/science.abf7945,hW3148554359,article,2021-04-02,TRUE,hybrid,TRUE
10.1126/science.abg6296,hW3160747020,article,2021-05-20,TRUE,hybrid,TRUE
10.1126/science.abg8389,hW3176191040,article,2021-06-25,TRUE,green,TRUE
10.1126/science.abq4062,hW4310251770,article,2022-11-24,TRUE,green,TRUE
10.1126/science.abc2836,hW3015210135,article,2021-04-15,TRUE,green,TRUE
10.1126/science.abf4058,hW3122927255,article,2021-02-25,TRUE,hybrid,TRUE
10.1126/science.abf3427,hW3199944054,article,2021-09-16,FALSE,closed,FALSE
10.1126/science.abo7063,hW4280510206,article,2022-05-12,TRUE,green,TRUE
10.1126/science.abm8868,hW4292680108,article,2022-08-18,FALSE,closed,FALSE
10.1126/science.add1383,hW4294073631,article,2022-09-01,TRUE,green,TRUE
10.1126/science.abm3371,hW4281561150,article,2022-05-26,TRUE,hybrid,TRUE
10.1126/science.adg6276,hW4315927809,article,2023-01-12,FALSE,closed,FALSE
10.1126/science.abe8372,hW3129149202,article,2021-02-02,TRUE,hybrid,TRUE
10.1126/science.abi9167,hW3197952169,article,2021-09-02,FALSE,closed,FALSE
10.1126/science.abh1558,hW3155880700,article,2021-04-14,TRUE,hybrid,FALSE
10.1126/science.abq1841,hW4282838915,article,2022-06-14,TRUE,green,TRUE
10.1126/science.adn6242,hW4394933487,article,2024-04-18,FALSE,closed,FALSE
10.1126/science.abe0290,hW3174858190,article,2021-07-01,TRUE,green,TRUE
10.1126/science.abo5680,hW4306902074,article,2022-10-20,FALSE,closed,FALSE
10.1126/science.aax5776,hW3185289627,article,2021-07-15,FALSE,closed,FALSE
10.1126/science.abk0297,hW4229011537,article,2022-05-05,TRUE,green,TRUE
10.1126/science.abj9853,hW3199923482,article,2021-09-14,TRUE,green,TRUE
10.1126/science.abn0478,hW4292229922,article,2022-08-18,TRUE,green,TRUE
10.1126/science.aba0862,hW3129242605,article,2021-02-19,TRUE,green,TRUE
10.1126/science.abl6184,hW3210408195,article,2021-12-23,TRUE,green,TRUE
10.1126/science.abc8479,hW3183982924,article,2021-07-29,TRUE,green,TRUE
10.1126/science.aba6605,hW3129916067,review,2021-02-19,TRUE,green,TRUE
10.1126/science.abj1028,hW3196856456,article,2021-09-09,TRUE,green,TRUE
10.1126/science.abg9556,hW3205798674,article,2021-10-22,TRUE,green,TRUE
10.1126/science.abn1479,hW4229016521,review,2022-05-05,TRUE,green,TRUE
10.1126/science.abm1208,hW4281383093,article,2022-05-24,TRUE,green,TRUE
10.1126/science.ade3535,hW4386127076,article,2023-08-24,TRUE,green,TRUE
10.1126/science.adj1182,hW4400770247,article,2024-07-18,TRUE,green,TRUE
10.1126/science.abc8697,hW3134236823,article,2021-03-01,TRUE,green,TRUE
10.1126/science.abg7216,hW4211162540,article,2022-02-10,TRUE,green,TRUE
10.1126/science.abc9113,hW3194929095,article,2021-08-26,TRUE,green,TRUE
10.1126/science.abi9069,hW4200628723,article,2022-01-14,TRUE,hybrid,TRUE
10.1126/science.adc9831,hW4292684442,article,2022-08-18,TRUE,hybrid,FALSE
10.1126/science.abm0271,hW4310251723,article,2022-11-24,TRUE,green,TRUE
10.1126/science.abo2631,hW4223897252,article,2022-06-16,TRUE,green,TRUE
10.1126/science.abm5734,hW4281554825,article,2022-05-26,FALSE,closed,FALSE
10.1126/science.abm9506,hW4282936228,article,2022-06-09,FALSE,closed,FALSE
10.1126/science.adk6628,hW4390967768,article,2024-01-18,FALSE,closed,FALSE
10.1126/science.abd8576,hW3130220853,article,2021-02-25,FALSE,closed,FALSE
10.1126/science.abb1590,hW3153812969,article,2021-04-15,TRUE,green,TRUE
10.1126/science.abh2315,hW3201474993,article,2021-09-23,TRUE,bronze,TRUE
10.1126/science.abc2755,hW3156883448,article,2021-04-22,FALSE,closed,FALSE
10.1126/science.abf2155,hW3182402235,article,2021-07-15,TRUE,green,TRUE
10.1126/science.adf6493,hW4390734484,article,2024-01-11,TRUE,green,TRUE
10.1126/science.abd7926,hW3120640524,article,2021-01-14,TRUE,green,TRUE
10.1126/science.abl7957,hW3204603437,article,2021-10-21,TRUE,green,TRUE
